[Lab2] Flow matching on symmetric GMM ...

  0%|          | 0/5000 [00:00<?, ?it/s]
loss: 103.8338:   0%|          | 0/5000 [00:00<?, ?it/s]
loss: 24.9983:   2%|¨‡         | 98/5000 [00:01<01:37, 50.33it/s]
loss: 31.9594:   2%|¨‡         | 98/5000 [00:01<01:37, 50.33it/s]
loss: 28.4889:   2%|¨‡         | 98/5000 [00:01<01:37, 50.33it/s]
loss: 26.6397:   2%|¨‡         | 98/5000 [00:01<01:37, 50.33it/s]
loss: 26.5672:   2%|¨‡         | 98/5000 [00:01<01:37, 50.33it/s]
loss: 26.5672:   2%|¨‡         | 105/5000 [00:01<01:31, 53.66it/s]
loss: 25.2213:   2%|¨‡         | 105/5000 [00:01<01:31, 53.66it/s]
loss: 26.2273:   2%|¨‡         | 105/5000 [00:01<01:31, 53.66it/s]
loss: 30.1939:   2%|¨‡         | 105/5000 [00:01<01:31, 53.66it/s]
loss: 26.6797:   2%|¨‡         | 105/5000 [00:01<01:31, 53.66it/s]
loss: 26.9760:   2%|¨‡         | 105/5000 [00:01<01:31, 53.66it/s]
loss: 25.6259:   2%|¨‡         | 105/5000 [00:01<01:31, 53.66it/s]
loss: 40.0656:   2%|¨‡         | 105/5000 [00:01<01:31, 53.66it/s]
loss: 40.0656:   2%|¨‡         | 112/5000 [00:01<01:27, 55.80it/s]
loss: 37.2358:   2%|¨‡         | 112/5000 [00:01<01:27, 55.80it/s]
loss: 32.3602:   2%|¨‡         | 112/5000 [00:01<01:27, 55.80it/s]
loss: 26.1754:   2%|¨‡         | 112/5000 [00:01<01:27, 55.80it/s]
loss: 23.2885:   2%|¨‡         | 112/5000 [00:01<01:27, 55.80it/s]
loss: 36.6833:   2%|¨‡         | 112/5000 [00:01<01:27, 55.80it/s]
loss: 26.8989:   2%|¨‡         | 112/5000 [00:01<01:27, 55.80it/s]
loss: 22.6891:   2%|¨‡         | 112/5000 [00:01<01:27, 55.80it/s]
loss: 22.6891:   2%|¨‡         | 119/5000 [00:01<01:23, 58.62it/s]
loss: 23.4926:   2%|¨‡         | 119/5000 [00:02<01:23, 58.62it/s]
loss: 24.2589:   2%|¨‡         | 119/5000 [00:02<01:23, 58.62it/s]
loss: 23.6294:   2%|¨‡         | 119/5000 [00:02<01:23, 58.62it/s]
loss: 24.2212:   2%|¨‡         | 119/5000 [00:02<01:23, 58.62it/s]
loss: 25.4515:   2%|¨‡         | 119/5000 [00:02<01:23, 58.62it/s]
loss: 26.9625:   2%|¨‡         | 119/5000 [00:02<01:23, 58.62it/s]
loss: 23.2221:   2%|¨‡         | 119/5000 [00:02<01:23, 58.62it/s]
loss: 23.2221:   3%|¨†         | 126/5000 [00:02<01:22, 59.20it/s]
loss: 22.6131:   3%|¨†         | 126/5000 [00:02<01:22, 59.20it/s]
loss: 41.5527:   3%|¨†         | 126/5000 [00:02<01:22, 59.20it/s]
loss: 24.0355:   3%|¨†         | 126/5000 [00:02<01:22, 59.20it/s]
